Series_Title,Released_Year,Genre,IMDB_Rating,Overview,No_of_Votes,Gross,Movie_Success,Average IMBD Rating by Gener,Unnamed: 9,sentiment_score,sentiment
Vozvrashchenie,2003,Drama,8.0,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",42399,502028.0,Average,,,-0.4019,Negative
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,"Drama, Romance",8.0,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,77520,2380788.0,Average,,,0.0516,Positive
Mar adentro,2014,"Biography, Drama",8.0,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",77554,2086345.0,Average,,,-0.5423,Negative
Cinderella Man,2005,"Biography, Drama, History",8.0,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",176151,61649911.0,Average,,,0.8074,Positive
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",8.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",63460,1787378.0,Average,,,0.9497,Positive
Mou gaan dou,2002,"Action, Crime, Drama",8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",117857,169659.0,Average,,,0.0,Neutral
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",1015122,305413918.0,Hit,,,0.8126,Positive
Big Fish,2003,"Adventure, Drama, Fantasy",8.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,415218,66257002.0,Average,,,-0.5267,Negative
The Incredibles,2004,"Animation, Action, Adventure",8.0,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",657047,261441092.0,Hit,,,0.0516,Positive
Dogville,2003,"Crime, Drama",8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",137963,1530386.0,Average,,,0.5994,Positive
Donnie Darko,2001,"Drama, Mystery, Sci-Fi",8.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",740086,1480006.0,Average,,,-0.6249,Negative
Magnolia,1999,Drama,8.0,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",289742,22455976.0,Average,,,0.743,Positive
Dancer in the Dark,2000,"Crime, Drama, Musical",8.0,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",102285,4184036.0,Average,,,0.6486,Positive
The Straight Story,1999,"Biography, Drama",8.0,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,82002,6203044.0,Average,,,-0.4215,Negative
Pâfekuto burû,1997,"Animation, Crime, Mystery",8.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",58192,776665.0,Average,,,-0.6808,Negative
Festen,1998,Drama,8.0,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",78341,1647780.0,Average,,,0.34,Positive
Central do Brasil,1998,Drama,8.0,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",36419,5595428.0,Average,,,-0.5574,Negative
The Iron Giant,1999,"Animation, Action, Adventure",8.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,172083,23159305.0,Average,,,-0.6705,Negative
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",27721,3296.0,Average,,,-0.6486,Negative
Sling Blade,1996,Drama,8.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",86838,24475416.0,Average,,,-0.2263,Negative
Secrets & Lies,1996,"Comedy, Drama",8.0,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",37564,13417292.0,Average,,,-0.7096,Negative
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",8.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",578443,57141459.0,Average,,,-0.6124,Negative
Kôkaku Kidôtai,1995,"Animation, Action, Crime",8.0,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,129231,515905.0,Average,,,0.4215,Positive
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",8.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",300208,75082668.0,Average,,,-0.4215,Negative
Groundhog Day,1993,"Comedy, Fantasy, Romance",8.0,A weatherman finds himself inexplicably living the same day over and over again.,577991,70906973.0,Average,,,0.0,Neutral
Bound by Honor,1993,"Crime, Drama",8.0,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",28825,4496583.0,Average,,,0.4215,Positive
Scent of a Woman,1992,Drama,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",263918,63895607.0,Average,,,-0.1154,Negative
Aladdin,1992,"Animation, Adventure, Comedy",8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,373845,217350219.0,Hit,,,0.7506,Positive
JFK,1991,"Drama, History, Thriller",8.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,142110,70405498.0,Average,,,-0.5994,Negative
Beauty and the Beast,1991,"Animation, Family, Fantasy",8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,417178,218967620.0,Hit,,,0.6369,Positive
Dances with Wolves,1990,"Adventure, Drama, Western",8.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",240266,184208848.0,Hit,,,-0.5994,Negative
Do the Right Thing,1989,"Comedy, Drama",8.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",89429,27545445.0,Average,,,-0.8316,Negative
Rain Man,1988,Drama,8.0,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,473064,178800000.0,Hit,,,-0.4767,Negative
Akira,1988,"Animation, Action, Sci-Fi",8.0,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,164918,553171.0,Average,,,-0.2263,Negative
The Princess Bride,1987,"Adventure, Family, Fantasy",8.0,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",393899,30857814.0,Average,,,-0.2732,Negative
Der Himmel über Berlin,1987,"Drama, Fantasy, Romance",8.0,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,64722,3333969.0,Average,,,0.7003,Positive
Au revoir les enfants,1987,"Drama, War",8.0,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",31163,4542825.0,Average,,,-0.2263,Negative
The Terminator,1984,"Action, Sci-Fi",8.0,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",799795,38400000.0,Average,,,-0.721,Negative
Gandhi,1982,"Biography, Drama, History",8.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,217664,52767889.0,Average,,,-0.25,Negative
Being There,1979,"Comedy, Drama",8.0,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",65625,30177511.0,Average,,,0.7096,Positive
Annie Hall,1977,"Comedy, Romance",8.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,251823,39200000.0,Average,,,0.6597,Positive
Jaws,1975,"Adventure, Thriller",8.0,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",543388,260000000.0,Hit,,,-0.8402,Negative
Dog Day Afternoon,1975,"Biography, Crime, Drama",8.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",235652,50000000.0,Average,,,-0.6124,Negative
Young Frankenstein,1974,Comedy,8.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",143359,86300000.0,Average,,,-0.7043,Negative
Papillon,1973,"Biography, Crime, Drama",8.0,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",121627,53267000.0,Average,,,-0.6908,Negative
The Exorcist,1973,Horror,8.0,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",362393,232906145.0,Hit,,,0.7096,Positive
Sleuth,1972,"Mystery, Thriller",8.0,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",44748,4081254.0,Average,,,0.7096,Positive
The Last Picture Show,1971,"Drama, Romance",8.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",42456,29133000.0,Average,,,-0.3182,Negative
Fiddler on the Roof,1971,"Drama, Family, Musical",8.0,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",39491,80500000.0,Average,,,-0.2263,Negative
Il conformista,1970,Drama,8.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",27067,541940.0,Average,,,-0.8834,Negative
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",8.0,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",201888,102308889.0,Hit,,,-0.128,Negative
Planet of the Apes,1968,"Adventure, Sci-Fi",8.0,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",165167,33395426.0,Average,,,-0.4215,Negative
